2026-02-19 01:36:25,660 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:36:25,660 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2026
2026-02-19 01:40:08,881 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:40:08,881 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2026
2026-02-19 01:40:09,432 | INFO | ingestion | ingest_footprint.py:30 | fetch data complete for year: 2026
2026-02-19 01:40:09,432 | INFO | ingestion | ingest_footprint.py:40 | updating database for year : 2026
2026-02-19 01:43:29,008 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:43:29,008 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2026
2026-02-19 01:43:29,551 | INFO | ingestion | ingest_footprint.py:28 | source data not available for year : 2026
2026-02-19 01:43:29,552 | INFO | ingestion | ingest_footprint.py:32 | fetch data complete for year: 2026
2026-02-19 01:43:29,552 | INFO | ingestion | ingest_footprint.py:41 | updating database for year : 2026
2026-02-19 01:43:44,304 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:43:44,305 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2010
2026-02-19 01:43:45,022 | INFO | ingestion | ingest_footprint.py:32 | fetch data complete for year: 2010
2026-02-19 01:43:45,088 | INFO | ingestion | ingest_footprint.py:41 | updating database for year : 2010
2026-02-19 01:43:58,713 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:43:58,713 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2021
2026-02-19 01:43:59,431 | INFO | ingestion | ingest_footprint.py:32 | fetch data complete for year: 2021
2026-02-19 01:43:59,500 | INFO | ingestion | ingest_footprint.py:41 | updating database for year : 2021
2026-02-19 01:47:22,559 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:47:22,560 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2021
2026-02-19 01:47:23,312 | INFO | ingestion | ingest_footprint.py:35 | fetch data complete for year: 2021
2026-02-19 01:47:23,375 | INFO | ingestion | ingest_footprint.py:43 | updating database for year : 2021
2026-02-19 01:47:31,805 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:47:31,805 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2026
2026-02-19 01:47:32,344 | ERROR | ingestion | ingest_footprint.py:28 | API returned null/empty records for year : 2026
2026-02-19 01:49:55,530 | INFO | ingestion | ingest_footprint.py:19 | Starting ingestion job
2026-02-19 01:49:55,530 | INFO | ingestion | ingest_footprint.py:20 | Processing year: 2023
2026-02-19 01:49:56,262 | INFO | ingestion | ingest_footprint.py:35 | fetch data complete for year: 2023
2026-02-19 01:49:56,329 | INFO | ingestion | ingest_footprint.py:43 | updating database for year : 2023
